case,ret,status,passed,failed,broken,skipped,warnings,all
fchmod04,0,passed,1,0,0,0,0,1
fchmod05,0,passed,1,0,0,0,0,1
fchmodat01,0,passed,6,0,0,0,0,6
fchmodat02,0,passed,6,0,0,0,0,6
fchown01,0,passed,1,0,0,0,0,1
fchown02,0,passed,2,0,0,0,0,2
fchown03,0,passed,1,0,0,0,0,1
fchown05,0,passed,6,0,0,0,0,6
fpathconf01,0,passed,9,0,0,0,0,9
fstat02,0,passed,6,0,0,0,0,6
fstat02_64,0,passed,6,0,0,0,0,6
fstat03,0,passed,2,0,0,0,0,2
fstat03_64,0,passed,2,0,0,0,0,2
fstatfs01,0,passed,16,0,0,0,0,16
fstatfs01_64,0,passed,16,0,0,0,0,16
fstatfs02,0,passed,2,0,0,0,0,2
fstatfs02_64,0,passed,2,0,0,0,0,2
lstat01,0,passed,1,0,0,0,0,1
lstat01_64,0,passed,1,0,0,0,0,1
lstat02,0,passed,6,0,0,0,0,6
lstat02_64,0,passed,6,0,0,0,0,6
pathconf01,0,passed,17,0,0,0,0,17
pathconf02,0,passed,6,0,0,0,0,6
stat01,0,passed,12,0,0,0,0,12
stat01_64,0,passed,12,0,0,0,0,12
stat02,0,passed,2,0,0,0,0,2
stat02_64,0,passed,2,0,0,0,0,2
stat03,0,passed,6,0,0,0,0,6
stat03_64,0,passed,6,0,0,0,0,6
statfs01,0,passed,8,0,0,0,0,8
statfs01_64,0,passed,8,0,0,0,0,8
statfs02,0,passed,6,0,0,0,0,6
statfs02_64,0,passed,6,0,0,0,0,6
statfs03,0,passed,1,0,0,0,0,1
statfs03_64,0,passed,1,0,0,0,0,1
statvfs01,0,passed,24,0,0,0,0,24
statvfs02,0,passed,5,0,0,0,0,5
statx02,0,passed,5,0,0,0,0,5
statx03,0,passed,7,0,0,0,0,7
umask01,0,passed,1,0,0,0,0,1
fgetxattr01,0,passed,30,0,0,2,0,32
fgetxattr02,0,passed,13,0,0,0,0,13
fgetxattr03,0,passed,1,0,0,0,0,1
flistxattr01,0,passed,1,0,0,0,0,1
flistxattr02,0,passed,2,0,0,0,0,2
flistxattr03,0,passed,2,0,0,0,0,2
fremovexattr01,0,passed,6,0,0,2,0,8
fremovexattr02,0,passed,18,0,0,2,0,20
fsetxattr01,0,passed,56,0,0,2,0,58
getxattr01,0,passed,4,0,0,0,0,4
getxattr02,0,passed,24,0,0,2,0,26
lgetxattr01,0,passed,2,0,0,0,0,2
lgetxattr02,0,passed,3,0,0,0,0,3
listxattr01,0,passed,1,0,0,0,0,1
listxattr02,0,passed,4,0,0,0,0,4
listxattr03,0,passed,2,0,0,0,0,2
llistxattr01,0,passed,1,0,0,0,0,1
llistxattr02,0,passed,4,0,0,0,0,4
llistxattr03,0,passed,2,0,0,0,0,2
lremovexattr01,0,passed,6,0,0,2,0,8
setxattr01,0,passed,56,0,0,2,0,58
setxattr02,0,passed,7,0,0,0,0,7
chdir01,0,passed,122,0,0,4,0,126
chdir04,0,passed,3,0,0,0,0,3
fallocate03,0,passed,8,0,0,0,0,8
fallocate04,0,passed,16,0,0,6,0,22
ftruncate01,0,passed,2,0,0,0,0,2
ftruncate01_64,0,passed,2,0,0,0,0,2
ftruncate03,0,passed,4,0,0,0,0,4
ftruncate03_64,0,passed,4,0,0,0,0,4
getcwd01,0,passed,5,0,0,0,0,5
getcwd02,0,passed,3,0,0,0,0,3
getcwd03,0,passed,1,0,0,0,0,1
getcwd04,0,passed,1,0,0,0,0,1
getdents01,0,passed,3,0,0,1,0,4
getdents02,0,passed,12,0,0,1,0,13
link02,0,passed,2,0,0,0,0,2
link04,0,passed,14,0,0,0,0,14
linkat01,0,passed,22,0,0,0,0,22
linkat02,0,passed,6,0,0,1,0,7
mkdir02,0,passed,1,0,0,0,0,1
mkdir04,0,passed,1,0,0,0,0,1
mkdir05,0,passed,1,0,0,0,0,1
mkdir09,0,passed,48,0,0,0,0,48
mkdir_tests.sh,0,passed,5,0,0,0,0,5
mkdirat01,0,passed,5,0,0,0,0,5
mkdirat02,0,passed,4,0,0,0,0,4
mknod01,0,passed,7,0,0,0,0,7
mknod02,0,passed,2,0,0,0,0,2
mknod03,0,passed,1,0,0,0,0,1
mknod04,0,passed,1,0,0,0,0,1
mknod05,0,passed,1,0,0,0,0,1
mknod06,0,passed,6,0,0,0,0,6
mknod07,0,passed,6,0,0,0,0,6
mknod08,0,passed,1,0,0,0,0,1
mknod09,0,passed,1,0,0,0,0,1
readdir01,0,passed,1,0,0,0,0,1
readlink01,0,passed,2,0,0,0,0,2
readlink03,0,passed,8,0,0,0,0,8
readlinkat02,0,passed,6,0,0,0,0,6
realpath01,0,passed,1,0,0,0,0,1
rename01,0,passed,64,0,0,0,0,64
rename03,0,passed,64,0,0,0,0,64
rename04,0,passed,8,0,0,0,0,8
rename05,0,passed,8,0,0,0,0,8
rename06,0,passed,8,0,0,0,0,8
rename07,0,passed,8,0,0,0,0,8
rename08,0,passed,16,0,0,0,0,16
rename09,0,passed,1,0,0,0,0,1
rename10,0,passed,16,0,0,0,0,16
rename11,0,passed,2,0,0,1,0,3
rename12,0,passed,6,0,0,0,0,6
rename13,0,passed,18,0,0,0,0,18
rename14,0,passed,1,0,0,0,0,1
rmdir01,0,passed,1,0,0,0,0,1
rmdir03,0,passed,2,0,0,0,0,2
symlink02,0,passed,1,0,0,0,0,1
symlink04,0,passed,2,0,0,0,0,2
truncate02,0,passed,2,0,0,0,0,2
truncate02_64,0,passed,2,0,0,0,0,2
truncate03,0,passed,8,0,0,0,0,8
truncate03_64,0,passed,8,0,0,0,0,8
unlink05,0,passed,2,0,0,0,0,2
unlink07,0,passed,6,0,0,0,0,6
unlink08,0,passed,4,0,0,0,0,4
unlinkat01,0,passed,7,0,0,0,0,7
utime01,0,passed,18,0,0,0,0,18
utime02,0,passed,18,0,0,0,0,18
utime03,0,passed,6,0,0,0,0,6
utime04,0,passed,18,0,0,0,0,18
utime05,0,passed,18,0,0,0,0,18
utime07,0,passed,5,0,0,0,0,5
kill03,0,passed,3,0,0,0,0,3
kill05,0,passed,1,0,0,0,0,1
kill06,0,passed,1,0,0,0,0,1
kill11,0,passed,24,0,0,0,0,24
rt_sigqueueinfo01,0,passed,2,0,0,0,0,2
sigaltstack02,0,passed,2,0,0,0,0,2
sighold02,0,passed,1,0,0,0,0,1
signal01,0,passed,6,0,0,0,0,6
signal02,0,passed,3,0,0,0,0,3
signal03,0,passed,30,0,0,0,0,30
signal04,0,passed,28,0,0,0,0,28
signal05,0,passed,30,0,0,0,0,30
sigpending02,0,passed,4,0,0,1,0,5
sigsuspend01,0,passed,1,0,0,0,0,1
sigwait01,0,passed,3,0,0,0,0,3
tgkill01,0,passed,1,0,0,0,0,1
